filename,count
scizor-mega.png,42751
scizor.png,24194
scolipede.png,160
scorbunny.png,9127
scovillain.png,18011
scrafty.png,27271
scraggy.png,4580
scream-tail.png,102
scyther.png,1
seadra.png,5
seaking.png,17228
sealeo.png,82
seedot.png,0
seel.png,0
seismitoad.png,1028
sentret.png,59
serperior.png,315
servine.png,335
seviper.png,5680
sewaddle.png,2946
sharpedo-mega.png,168
sharpedo.png,28
shaymin-land.png,43
shaymin-sky.png,8918
shedinja.png,0
shelgon.png,4
shellder.png,2
shellos.png,1
shelmet.png,49
shieldon.png,1
shiftry.png,23467
shiinotic.png,3
shinx.png,53
shroodle.png,27
shroomish.png,0
shuckle.png,10231
shuppet.png,3
sigilyph.png,3160
silcoon.png,12
silicobra.png,0
silvally.png,59
simipour.png,45
simisage.png,110
simisear.png,48934
sinistea.png,283
sirfetchd.png,104
sizzlipede.png,15440
skarmory.png,1186
skeledirge.png,32407
skiddo.png,2592
skiploom.png,555
skitty.png,27
skorupi.png,645
skrelp.png,35533
skuntank.png,297
skwovet.png,286
slaking.png,25
slakoth.png,132
sliggoo.png,12
slither-wing.png,20538
slowbro-galar.png,200
slowbro-mega.png,27
slowbro.png,1
slowking-galar.png,56
slowking.png,2654
slowpoke-galar.png,46
slowpoke.png,0
slugma.png,77977
slurpuff.png,0
smeargle.png,7454
smoliv.png,42
smoochum.png,1
sneasel-hisui.png,1004
sneasel.png,3287
sneasler.png,5104
snivy.png,1669
snom.png,31
snorlax-gmax.png,6963
snorlax.png,31
snorunt.png,13040
snover.png,1
snubbull.png,138
sobble.png,2
solgaleo.png,3531
solosis.png,20
solrock.png,19164
spearow.png,32527
spectrier.png,13261
spewpa.png,2888
spheal.png,1
spidops.png,924
spinarak.png,2946
spinda.png,24685
spiritomb.png,0
spoink.png,0
sprigatito.png,2
spritzee.png,3580
squawkabilly.png,575
squirtle.png,1707
stakataka.png,30
stantler.png,903
staraptor.png,7874
staravia.png,4325
starly.png,5718
starmie.png,13
staryu.png,193
steelix-mega.png,15
steelix.png,37
steenee.png,61
stonjourner.png,142
stoutland.png,6896
stufful.png,28962
stunfisk.png,26831
stunky.png,1206
sudowoodo.png,151
suicune.png,25
sunflora.png,0
sunkern.png,0
surskit.png,2
swablu.png,0
swadloon.png,13
swalot.png,40
swampert-mega.png,28457
swampert.png,5776
swanna.png,2
swellow.png,70
swinub.png,7873
swirlix.png,0
